四季嗅探,#genre#
廚神明星秀,https://www.4gtv.tv/channel/fast-live226?set=4&ch=402
浩克慢遊,https://www.4gtv.tv/channel/fast-live227?set=4&ch=403
環遊世界800天 ,https://www.4gtv.tv/channel/fast-live228?set=4&ch=413
娛樂超skr,https://www.4gtv.tv/channel/fast-live229?set=4&ch=428
綜藝新時代,https://www.4gtv.tv/channel/fast-live230?set=4&ch=429
幸福保衛戰,https://www.4gtv.tv/channel/fast-live231?set=4&ch=430
同學！搞什麼鬼,https://www.4gtv.tv/channel/fast-live232?set=4&ch=431
爸媽囧很大,https://www.4gtv.tv/channel/fast-live233?set=4&ch=432
醫學大聯盟,https://www.4gtv.tv/channel/fast-live234?set=4&ch=433
GoGoTaiwan,https://www.4gtv.tv/channel/fast-live235?set=4&ch=434
一起追韓星,https://www.4gtv.tv/channel/fast-live239?set=4&ch=447
韓流美食料理秀,https://www.4gtv.tv/channel/fast-live240?set=4&ch=449
霹靂布袋戲,https://www.4gtv.tv/channel/fast-live401?set=4&ch=338
金光布袋戲,https://www.4gtv.tv/channel/fast-live402?set=4&ch=339
超人力霸王TV版,https://www.4gtv.tv/channel/fast-live403?set=4&ch=318
超人力霸王劇場版,https://www.4gtv.tv/channel/fast-live404?set=4&ch=325
哆啦A夢,https://www.4gtv.tv/channel/fast-live405?set=4&ch=331
經典卡通,https://www.4gtv.tv/channel/fast-live406?set=4&ch=332
免費精選動畫,https://www.4gtv.tv/channel/fast-live407?set=4&ch=437
經典迪士尼,https://www.4gtv.tv/channel/fast-live408?set=4&ch=340
免費兒童卡通,https://www.4gtv.tv/channel/fast-live409?set=4&ch=334
FOOD超人,https://www.4gtv.tv/channel/fast-live410?set=4&ch=327
小兒子,https://www.4gtv.tv/channel/fast-live411?set=4&ch=336
親子一起看,https://www.4gtv.tv/channel/fast-live412?set=4&ch=436
怪獸之王,https://www.4gtv.tv/channel/fast-live413?set=4&ch=438
東離劍遊紀,https://www.4gtv.tv/channel/fast-live414?set=4&ch=448


星火嗅探,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

中天綜合,http://www.kds.tw/tv-show-20081-1.html
中天亞洲,http://www.kds.tw/tv-show-20082-1.html
緯來日本,http://www.kds.tw/tv-show-20083-1.html
緯來綜合,http://www.kds.tw/tv-show-20084-1.html
東森綜合,http://www.kds.tw/tv-show-20086-1.html
東森超視,http://www.kds.tw/tv-show-20087-1.html
台視,http://www.kds.tw/tv-show-20088-1.html
八大綜合,http://www.kds.tw/tv-show-20089-1.html
八大第一,http://www.kds.tw/tv-show-20090-1.html
中視,http://www.kds.tw/tv-show-20091-1.html
華視,http://www.kds.tw/tv-show-20092-1.html
ELTA綜合,http://www.kds.tw/tv-show-20093-1.html
客家電視,http://www.kds.tw/tv-show-20094-1.html
公視3,http://www.kds.tw/tv-show-20095-1.html
公視,http://www.kds.tw/tv-show-20096-1.html
靖天國際,http://www.kds.tw/tv-show-20097-1.html
大愛,http://www.kds.tw/tv-show-20098-1.html
大愛2,http://www.kds.tw/tv-show-20099-1.html
中天新聞,http://www.kds.tw/tv-show-20100-1.html
TVBS,http://www.kds.tw/tv-show-20101-1.html
TVBS新聞,http://www.kds.tw/tv-show-20102-1.html
東森新聞,http://www.kds.tw/tv-show-20103-1.html
東森財經新聞,http://www.kds.tw/tv-show-20104-1.html
壹新聞,http://www.kds.tw/tv-show-20105-1.html
中視新聞,http://www.kds.tw/tv-show-20106-1.html
年代新聞,http://www.kds.tw/tv-show-20107-1.html
寰宇新聞,http://www.kds.tw/tv-show-20108-1.html
台視新聞,http://www.kds.tw/tv-show-20109-1.html
非凡新聞,http://www.kds.tw/tv-show-20110-1.html
華視新聞,http://www.kds.tw/tv-show-20111-1.html
鏡新聞,http://www.kds.tw/tv-show-20112-1.html
靖天資訊,http://www.kds.tw/tv-show-20113-1.html
龍華電影,http://www.kds.tw/tv-show-20114-1.html
緯來電影,http://www.kds.tw/tv-show-20115-1.html
緯來戲劇,http://www.kds.tw/tv-show-20116-1.html
東森電影,http://www.kds.tw/tv-show-20117-1.html
東森洋片,http://www.kds.tw/tv-show-20118-1.html
東森戲劇,http://www.kds.tw/tv-show-20119-1.html
衛視電影,http://www.kds.tw/tv-show-20120-1.html
ETtoday綜合,http://www.kds.tw/tv-show-20121-1.html
華藝中文,http://www.kds.tw/tv-show-20122-1.html
龍華電影,http://www.kds.tw/tv-show-20123-1.html
龍華洋片,http://www.kds.tw/tv-show-20124-1.html
好萊塢電影,http://www.kds.tw/tv-show-20125-1.html
TVBS歡樂,http://www.kds.tw/tv-show-20126-1.html
ELTA影劇,http://www.kds.tw/tv-show-20127-1.html
龍祥電影,http://www.kds.tw/tv-show-20128-1.html
EYE戲劇,http://www.kds.tw/tv-show-20129-1.html
八大戲劇,http://www.kds.tw/tv-show-20130-1.html
八大娛樂,http://www.kds.tw/tv-show-20131-1.html
MTV Live,http://www.kds.tw/tv-show-20132-1.html
靖天電影,http://www.kds.tw/tv-show-20133-1.html
中天娛樂,http://www.kds.tw/tv-show-20134-1.html
靖洋戲劇,http://www.kds.tw/tv-show-20135-1.html
美亞電影,http://www.kds.tw/tv-show-20136-1.html
緯來體育,http://www.kds.tw/tv-show-20265-1.html
ELTA體育1,http://www.kds.tw/tv-show-20271-1.html
ELTA體育2,http://www.kds.tw/tv-show-20272-1.html
ELTA體育3,http://www.kds.tw/tv-show-20273-1.html
