台灣MOD,#genre#
韓國娛樂台,udp://@224.1.4.232:11111
韓國娛樂台,udp://@230.1.2.66:11111
華藝綜合台,udp://@230.1.2.1:11111
華藝綜合台,udp://@224.1.4.130:11111
星衛娛樂台,udp://@230.1.2.218:11111
星衛娛樂台,udp://@230.1.2.38:11111
ROCK Extreme,udp://@224.1.4.146:11111
ROCK Extreme,udp://@224.1.4.99:11111
ROCK Entertainment,udp://@224.1.4.131:11111
ROCK Entertainment,udp://@224.1.4.14:11111
Tech Strom,udp://@224.1.4.11:11111
Tech Strom,udp://@230.1.2.159:11111
美好購物2台,udp://@224.1.4.145:11111
美好購物2台,udp://@224.1.5.98:11111
MOMO購物1台,udp://@230.1.2.63:11111
MOMO購物1台,udp://@224.1.4.229:11111
東森購物4台,udp://@224.1.4.176:11111
東森購物4台,udp://@230.1.2.95:11111
中視新聞,udp://@224.1.4.252:11111
中視新聞,udp://@224.1.4.50:11111
寰宇新聞,udp://@230.1.2.252:11111
寰宇新聞,udp://@224.1.4.51:11111
寰宇新聞台灣,udp://@224.1.4.101:11111
寰宇新聞台灣,udp://@230.1.2.147:11111
台視新聞,udp://@230.1.2.99:11111
台視新聞,udp://@224.1.4.215:11111
三立iNEWS,udp://@230.1.2.21:11111
三立iNEWS,udp://@230.1.2.191:11111
華視新聞,udp://@224.1.4.55:11111
華視新聞,udp://@230.1.2.248:11111
壹新聞,udp://@230.1.2.188:11111
壹新聞,udp://@230.1.2.18:11111
民視新聞,udp://@224.1.4.97:11111
民視新聞,udp://@230.1.2.155:11111
鏡新聞,udp://@224.1.4.126:11111
鏡新聞,udp://@230.1.2.138:11111
寰宇財經,udp://@230.1.2.249:11111
寰宇財經,udp://@224.1.4.56:11111
台視財經,udp://@224.1.4.248:11111
台視財經,udp://@224.1.4.32:11111
美好購物1台,udp://@224.1.4.167:11111
美好購物1台,udp://@224.1.4.67:11111
東森購物5台,udp://@230.1.2.33:11111
東森購物5台,udp://@224.1.4.163:11111
CNN,udp://@230.1.2.69:11111
CNN,udp://@224.1.4.235:11111
BBC World News,udp://@230.1.2.250:11111
BBC World News,udp://@224.1.4.52:11111
Bloomberg,udp://@224.1.4.197:11111
Bloomberg,udp://@224.1.4.79:11111
Channel News Asia,udp://@230.1.2.11:11111
Channel News Asia,udp://@224.1.4.139:11111
CNBC,udp://@224.1.4.140:11111
CNBC,udp://@224.1.4.118:11111
Euro News,udp://@224.1.4.119:11111
DW,udp://@224.1.4.147:11111
DW,udp://@224.1.4.120:11111
France24,udp://@230.1.2.24:11111
France24,udp://@224.1.4.166:11111
台灣Plus,udp://@230.1.2.210:11111
台灣Plus,udp://@230.1.2.30:11111
NHK新聞資訊台,udp://@224.1.4.137:11111
Aljazeera,udp://@230.1.2.128:11111
視納華仁紀實,udp://@230.1.2.96:11111
視納華仁紀實,udp://@224.1.4.206:11111
影迷數位紀實,udp://@230.1.2.23:11111
影迷數位紀實,udp://@224.1.4.226:11111
美亞電影台灣,udp://@224.1.4.91:11111
美亞電影台灣,udp://@230.1.2.143:11111
龍華電影,udp://@224.1.4.251:11111
龍華電影,udp://@224.1.4.36:11111
星衛HD電影,udp://@224.1.4.18:11111
星衛HD電影,udp://@230.1.2.153:11111
靖天映畫,udp://@224.1.4.38:11111
靖天映畫,udp://@230.1.2.236:11111
靖天電影,udp://@224.1.4.42:11111
靖天電影,udp://@230.1.2.243:11111
龍華洋片,udp://@224.1.4.37:11111
龍華洋片,udp://@230.1.2.211:11111
華納電視,udp://@224.1.4.234:11111
華納電視,udp://@230.1.2.68:11111
ROCK Action,udp://@230.1.2.181:11111
ROCK Action,udp://@224.1.4.9:11111
衛視國際電影台,udp://@230.1.2.164:11111
衛視國際電影台,udp://@230.1.2.2:11111
AMC最愛電影,udp://@230.1.2.157:11111
AMC最愛電影,udp://@224.1.4.43:11111
HITS,udp://@224.1.4.136:11111
衛視閤家歡,udp://@230.1.2.160:11111
衛視閤家歡,udp://@224.1.4.27:11111
龍華經典,udp://@224.1.4.172:11111
龍華經典,udp://@224.1.4.44:11111
華藝影劇台,udp://@230.1.2.200:11111
華藝影劇台,udp://@230.1.2.17:11111
CatchPlay電影,udp://@230.1.2.217:11111
CatchPlay電影,udp://@230.1.2.37:11111
CinemaWorld,udp://@230.1.2.201:11111
CinemaWorld,udp://@230.1.2.222:11111
CinemaWorld,udp://@230.1.2.3:11111
壹電影,udp://@230.1.2.189:11111
壹電影,udp://@230.1.2.19:11111
采昌影劇,udp://@230.1.2.71:11111
采昌影劇,udp://@224.1.4.221:11111
影迷數位電影,udp://@230.1.2.20:11111
影迷數位電影,udp://@224.1.4.225:11111
MCE光影歐洲,udp://@230.1.2.129:11111
唯心電視,udp://@230.1.2.80:11111
唯心電視,udp://@224.1.4.200:11111
佛衛慈悲台,udp://@224.1.4.178:11111
佛衛慈悲台,udp://@224.1.4.84:11111
華藏衛視台,udp://@224.1.4.181:11111
華藏衛視台,udp://@224.1.4.90:11111
生命電視台,udp://@230.1.2.187:11111
生命電視台,udp://@224.1.4.93:11111
正德電視台,udp://@224.1.4.195:11111
正德電視台,udp://@224.1.4.95:11111
TV5Monde,udp://@224.1.4.148:11111
TV5Monde,udp://@224.1.4.16:11111
Arirang,udp://@224.1.4.184:11111
Arirang,udp://@224.1.4.92:11111
France24,udp://@230.1.2.15:11111
HAPPY成人台,udp://@224.1.4.186:11111
HAPPY成人台,udp://@224.1.4.72:11111
彩虹E台,udp://@224.1.4.141:11111
彩虹E台,udp://@224.1.4.63:11111
彩虹電影台,udp://@224.1.4.164:11111
彩虹電影台,udp://@224.1.4.64:11111
彩虹K台,udp://@224.1.4.175:11111
